STT,Tên Shop,Địa Chỉ Shop,Link Website / Link Shop,Tên Sản Phẩm,Tên Sản Phẩm (Tiếng Anh),Giá Cả,Mô Tả Sản Phẩm,Mô Tả Sản Phẩm (Tiếng Anh),Tag,Category,Link Hình Ảnh
1,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ ấm chén trà làm quà tặng cao cấp gốm sứ Bát Tràng,Premium Bat Trang Ceramic/Pottery/Porcelain Tea Set/Cup/Bowl (Gift Set),230000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ ấm chén trà làm quà tặng cao cấp gốm sứ Bát Tràng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Bat Trang Ceramic/Pottery/Porcelain Tea Set/Cup/Bowl (Gift Set).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210613223832_30175.jpg
2,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ ấm chén in logo văn phòng chính phủ,Tea Set/Cup (Logo Printed),495000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ ấm chén in logo văn phòng chính phủ.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Tea Set/Cup (Logo Printed).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20200827171024_77598.jpg
3,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ấm chén Bát Tràng in logo giá bao nhiêu,Bat Trang Tea Set/Cup/Bowl (Logo Printed),198000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ấm chén Bát Tràng in logo giá bao nhiêu.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Tea Set/Cup/Bowl (Logo Printed).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20201101223255_08944.jpg
4,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ấm chén trà in logo - quà tặng ngày kỷ niệm,"Tea Set/Cup (Gift Set, Logo Printed)",307800,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ấm chén trà in logo - quà tặng ngày kỷ niệm.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Tea Set/Cup (Gift Set, Logo Printed).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210909163656_09085.jpg
5,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ấm chén Bát Tràng tphcm in chữ,Bat Trang Tea Set/Cup/Bowl,230000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ấm chén Bát Tràng tphcm in chữ.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Tea Set/Cup/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20210909212637_27306.jpg
6,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ ấm chén trà làm quà tặng,Tea Set/Cup (Gift Set),188000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ ấm chén trà làm quà tặng.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Tea Set/Cup (Gift Set).,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2021090511278_95810.jpg
7,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ ấm trà in logo quà tặng cho doanh nghiệp,"Tea Set/Teapot (Gift Set, Logo Printed)",425000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ ấm trà in logo quà tặng cho doanh nghiệp.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Tea Set/Teapot (Gift Set, Logo Printed).",Gift Sets,Quà tặng,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2020101020246_14713.jpg
8,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Bộ chén uống trà đẹp in logo cao cấp,"Premium Cup (Elegant, Logo Printed)",197500,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Bộ chén uống trà đẹp in logo cao cấp.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Premium Cup (Elegant, Logo Printed).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20201012213043_61748.jpg
9,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Cốc sứ Bát Tràng có nắp,Bat Trang Porcelain Mug/Bowl,56000,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Cốc sứ Bát Tràng có nắp.",Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Porcelain Mug/Bowl.,Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_2022091622649_21946.jpg
10,Gốm Sứ Bát Tràng,"Bát Tràng, Gia Lâm, Hà Nội",https://gomsubattrang.vn/,Ly sứ đẹp có nắp gốm sứ Bát Tràng,"Bat Trang Ceramic/Pottery/Porcelain Bowl (Ceramic Mug, Elegant)",65520,"Sản phẩm thủ công mỹ nghệ tinh tế, được hoàn thiện thủ công tỉ mỉ từ Gốm Sứ Bát Tràng: Ly sứ đẹp có nắp gốm sứ Bát Tràng.","Exquisite handcrafted ceramic product made with premium materials from Bat Trang: Bat Trang Ceramic/Pottery/Porcelain Bowl (Ceramic Mug, Elegant).",Handicrafts,Thủ công,https://gomsubattrang.vn/uploads/data/20/imgproducts/Thumb_20220915151052_07227.jpg
