Tên shop, Địa chỉ, Link
Hương Việt Mart, "63 Phan Huy Ích, Phường Tân Sơn, HCM", https://huongvietmart.vn/
Đặc sản Thanh Phương, "229 Bạch Đằng, P3, Q Gò Vấp", https://dacsanthanhphuong.vn/
Đặc Sản Quê Việt, "16 đường số 8, Tân Tạo A, Bình Tân, TPHCM", https://dacsanqueviet.com/
HANIGO, "63 Nguyễn Văn Thoại, phường An Hải, thành phố Đà Nẵng", https://hanigo.com/
Tiến Huệ - Đặc sản Hà Nội, "68C Nguyễn Văn Trỗi, P. Phú Nhuận, TP. Hồ Chí Minh", https://tienhue.com/
DaLaVi, "27/6E Yersin St., Xuan Huong Ward, Da Lat City", https://dalavi.net/
Dương Đông Food, "Số 146 Lê Bình, Phường Tân Sơn Nhất, Thành phố Hồ Chí Minh", https://duongdongfood.com/
Cộng Hưởng Art & Craft Shop, "10 Nguyễn Thị Minh Khai, Phường Sài Gòn, TP Hồ Chí Minh, Việt Nam", https://conghuongartcrafts.vn/
Mayhouse - Craft Decor & Giftshop, "41 Mạc Thị Bưởi, phường Bến Nghé, Quận 1, TP.HCM", https://mayhousedecor.com/
The Craft House,"6/10 Cách Mạng Tháng 8, P. Bến Thành, TP.HCM", https://thecrafthouse.vn/
